     reference_csv               new_csv                  diff
                16                    16                     0
               -28                   -28                     0
                10                    10                     0
                30                    30                     0
                11                    11                     0
               -27                   -27                     0
               -12                   -12                     0
               -11                   -11                     0
               -26                   -26                     0
                28                    28                     0
                28                    28                     0
               -10                   -10                     0
                26                    26                     0
               -33                   -33                     0
                27                    27                     0
                30                    30                     0
               -30                   -30                     0
               -10                   -10                     0
               -30                   -30                     0
                33                    33                     0
                33                    33                     0
                -8                    -8                     0
                11                    11                     0
               -10                   -10                     0
                26                    26                     0
                10                    10                     0
               -10                   -10                     0
               -30                   -30                     0
                27                    27                     0
                 9                     9                     0
                -7                    -7                     0
                -8                    -8                     0
                10                    10                     0
                 6                     6                     0
                 8                     8                     0
                28                    28                     0
                12                    12                     0
               -27                   -27                     0
               -32                   -32                     0
               -31                   -31                     0
               -29                   -29                     0
                30                    30                     0
                10                    10                     0
               -28                   -28                     0
               -29                   -29                     0
               -10                   -10                     0
               -11                   -11                     0
                29                    29                     0
                 9                     9                     0
               -10                   -10                     0
                -8                    -8                     0
                 7                     7                     0
               -29                   -29                     0
                -9                    -9                     0
               -13                   -13                     0
                27                    27                     0
                -9                    -9                     0
                29                    29                     0
               -12                   -12                     0
                11                    11                     0
               -14                   -14                     0
               -29                   -29                     0
                 8                     8                     0
                10                    10                     0
                10                    10                     0
               -12                   -12                     0
               -10                   -10                     0
                10                    10                     0
               -11                   -11                     0
               -29                   -29                     0
                28                    28                     0
                30                    30                     0
               -28                   -28                     0
                10                    10                     0
                10                    10                     0
                32                    32                     0
                29                    29                     0
               -32                   -32                     0
                29                    29                     0
                 9                     9                     0
               -11                   -11                     0
                27                    27                     0
               -31                   -31                     0
                10                    10                     0
                28                    28                     0
                34                    34                     0
               -30                   -30                     0
                10                    10                     0
                26                    26                     0
                -9                    -9                     0
                28                    28                     0
               -10                   -10                     0
                31                    31                     0
               -31                   -31                     0
                10                    10                     0
                10                    10                     0
               -29                   -29                     0
                -9                    -9                     0
                -8                    -8                     0
                11                    11                     0
               -28                   -28                     0
               -27                   -27                     0
               -31                   -31                     0
                -9                    -9                     0
               -10                   -10                     0
                 7                     7                     0
               -31                   -31                     0
               -12                   -12                     0
               -27                   -27                     0
                 5                     5                     0
                 8                     8                     0
                28                    28                     0
               -30                   -30                     0
                29                    29                     0
                11                    11                     0
               -11                   -11                     0
               -34                   -34                     0
                13                    13                     0
                28                    28                     0
                27                    27                     0
                11                    11                     0
                28                    28                     0
                27                    27                     0
                -8                    -8                     0
                 9                     9                     0
               -32                   -32                     0
               -30                   -30                     0
               -10                   -10                     0
               -28                   -28                     0
                27                    27                     0
                28                    28                     0
               -10                   -10                     0
                26                    26                     0
               -33                   -33                     0
                27                    27                     0
                29                    29                     0
               -30                   -30                     0
