SymbolIndex,SampleIndexAfterDelayRemoval,SampleTime_s,SampledVoltage_V,InstantFastCode_dec,InstantFastVout_V,VectorFastCode_dec,VectorFastVout_V
0,71,9.76554687500004e-12,-0.00549446864165499,62,-0.00937500000000002,62,-0.00937500000000002
1,199,2.76225468750001e-11,-0.236348559450084,13,-0.2390625,13,-0.2390625
2,327,4.54795468750001e-11,-0.21115604742369,18,-0.215625,18,-0.215625
3,455,6.33365468749998e-11,0.23466930240295,114,0.234375,114,0.234375
4,583,8.11935468749998e-11,0.0660601677230316,78,0.065625,78,0.065625
5,711,9.90505468749999e-11,0.0768521990312909,80,0.075,80,0.075
6,839,1.16907546875e-10,-0.231764841807617,14,-0.234375,14,-0.234375
7,967,1.34764546875e-10,-0.219689401514343,17,-0.2203125,17,-0.2203125
8,1095,1.52621546875e-10,-0.0858148183945832,45,-0.0890625,45,-0.0890625
9,1223,1.70478546875e-10,-0.0816782564104392,46,-0.084375,46,-0.084375
10,1351,1.88335546875e-10,0.0788447811790183,80,0.075,80,0.075
11,1479,2.06192546875e-10,-0.0708267234468902,48,-0.075,48,-0.075
12,1607,2.24049546875e-10,0.240746439939414,115,0.2390625,115,0.2390625
13,1735,2.41906546875e-10,0.0665069032438399,78,0.065625,78,0.065625
14,1863,2.59763546875e-10,-0.0743946201713232,48,-0.075,48,-0.075
15,1991,2.77620546875e-10,0.0763977471166356,80,0.075,80,0.075
16,2119,2.95477546875e-10,0.0660977721556549,78,0.065625,78,0.065625
17,2247,3.13334546875e-10,-0.0828641380004704,46,-0.084375,46,-0.084375
18,2375,3.31191546875e-10,-0.0751388524933961,47,-0.0796875,47,-0.0796875
19,2503,3.49048546875e-10,0.223728680998647,111,0.2203125,111,0.2203125
20,2631,3.66905546875e-10,-0.237724484863945,13,-0.2390625,13,-0.2390625
21,2759,3.84762546875e-10,-0.066282191209292,49,-0.0703125,49,-0.0703125
22,2887,4.02619546875e-10,0.230997053963992,113,0.2296875,113,0.2296875
23,3015,4.20476546875e-10,0.0571564340094612,76,0.05625,76,0.05625
